email (primary),name (english),name (chinese),name (nickname),name (nickname),name (nickname)
_event,Christmas,聖誕聯合崇拜,,,
_event,Combined Service,聯合崇拜,,,
_event,New Year,,,,
_event,,一家一菜,,,
_event,,暫停,,,
_group,,雅歌,,,
,Amy TEST,陳歌潔,,,
becksafdsy_wq@abc.com,Becky Wang,王董,,,
sdsdsa@fds.com,Betty Chen,陳于,,,
icypopsy@sdfds.com,Candy Tung,董明,,,
wesmac50@safsda.com,Chen Wesley,陳文禮,?????,??,
yuchinyang@sfds.com,Christine Yang ,楊于明,,,
dan_kao_729@sdsd.com,Dan Kao,高明于,,,
d.lee219@dsfsfsd.com,Daniel Lee,李高穎,,,
ddsafdsafds_dsfs@dfsfs.com,Deborah Tseng ,曾啟怡,D Tseng,Deborah,
dsfafdsafdsa@dsfs.com,Eddie Huang ,榮啟柏,,,
ceo-dsfdsf@hotmail.com,Edison Huang,黃柏榮,,,
afdsafdsafdsa2342dsf@hotmail.com,Ery Tseng,曾影,,,
afdsafdsafds_tab@hotmail.com,Eve Yeh,,,,
safsd32342sdfsda--D@hotmail.com,Gary Lee,李永,,,
sfasafdsa@gmail.com,Gary Tan,克丞,Gazza,,
dsafdsaf@gmail.com,Jeffrey Xuan,志凌,Jeffrey,,
ret324er3@gmail.com,Joanna Huang,正芃,PongPong,,
safsdsa435@gmail.com,Joseph Chiang,蔣宇,,,
dsafs3453fsd@gmail.com,Karen Chang,張筠正芃,,,
sfsfs.xmas@gmail.com,Ma-li Wang,王正芃,????,??,
uyiyu.yrete.yrytr@yahoo.com,Monica Chang,張正芃,,,
p.rwerwfsd@live.com.au,Peace HE ,何婷,,,
,Raymond Tsang,,,,
,Rev. Kian Holik,,,,
,Yvonne Lu,呂張正,,,
,Ted,,,,
safdsaefdsa@yahoo.com.au,Judy Wu,伍徐,Judy ????,,
,,劉富理,?????,,
afdaevdsaew@gmail.com,Robert Lu,呂孫,Bobby Lu,,
dsafe116688@hotmail.com ,Jessie Sun,孫尹藝,,,
dsd.dsafdsafds777@gmail.com ,Ian Yin,尹徐,,,
,,張明俊,,,
,Riley Hsu,徐政宏,,,
safs3422342f@hotmail.com,Jenny Hsu,徐呂孫,,,
safdsa34243@gmail.com,Tom Tai,戴楊,,,
sseeov5@gmail.com,Daniel Yang,楊羽賢,,,
safdsaehong@yahoo.com.au,Lily Hong,洪賢婷,,,
,,王洪賢,?????,,
dsfsaf.wasafds09@gmail.com,Darren Wang,王王洪,,,
swerw057@hotmail.com,Irene Shen,申徐,????,,
fwfewfxdw@gmail.com,Elaine Sheng,盛賢,,,
,,章婕,,,
dsafsda.dsfsf@me.com ,Randy Chi,紀申,Che Wei Chi,,
dsafsdsaf.c.cdsfdhuang@gmail.com ,Jessica Chuang,莊婕,,,
,Grace Chuang,莊紀申,,,
fdsafs45242@gmail.com,Deborah Hsu,許丞,Debo,,
afdafsd754564@hotmail.com,Stan Xu,許丞泉,,,
dsafdsaf23@hotmail.com,Michelle Tan,紀申玲,Michelle ????,,
,,,,,
fsafdsa.fdsafdsa@gmail.com,Brian Chen,盛賢恩,,,
safdsae@yahoo.com.au,Sara Wei,子玲嫈,,,
,,黃盛玲,,,
